collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_l;ADJF_l;ADJS_l;COMP_l;VERB_l;INFN_l;PRTF_l;GRND_l;NUMR_l;ADVB_l;NPRO_l;PRED_l;PREP_l;CONJ_l;PRCL_l;INTJ_l;None_l;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;NOUN_r;ADJF_r;ADJS_r;COMP_r;VERB_r;INFN_r;PRTF_r;GRND_r;NUMR_r;ADVB_r;NPRO_r;PRED_r;PREP_r;CONJ_r;PRCL_r;INTJ_r;None_r;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota
вычислительный математика;539;46;20;0.391304347826087;0;8.149706531565359;3.431229524700613;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.191587432301283;17.835443622076006;4.464487539499678;0.03710575139146568;-3.8703647195834043;2.7591154275939134e-06;0;0;0;0;0.1;0;0;0;1.414213562373095;0;-689990.1684781456;-772977.6565937828;2;0;109.41411332863262;64.88295520582471;1
математика и;46;19210;22;0.391304347826087;0;8.964677184721895;4.331931220122254;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.173662520250834;13.092525757525427;4.430511301072483;0.0011452368558042686;-8.7735888078372;2.7591154275939134e-06;0;0.0049504950495049506;0;0;0.0024813895781637717;0;0;0;1.414213562373095;0;-99446.45336591659;-165744.08894319434;4;21.2975647543999;125.18635346223581;60.762230165905066;1
машина тьюринг;704;154;126;0.2608695652173913;0;73.5306497898776;73.30162372719874;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.718424520391157;23.67298436739099;11.211647750518145;0.17897727272727273;-1.7675539139996292;2.7591154275939134e-06;0;0;0;0;0.015151515151515152;0;0;0;1.414213562373095;0;-308135.5778920042;-296855.08467437787;2;0;99.43632580607742;52.689928801634714;1
и алгоритм;19210;1263;22;0.43478260869565216;0;7.958012392387042;3.3252664277874007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.6054144474797059;8.313448789794888;-2.4456566619688673;0.0011452368558042686;-8.862003283302805;1.3795577137969567e-06;0;0;0;0;0.0005959475566150178;0;0;0;1.0;0;0.0;0.0;2;0;114.92498888797428;73.04196713713134;1
решение задача;746;916;64;0.5217391304347826;1;18.082981758077956;16.30761150919461;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.0851271478712565;18.08512714787126;7.882162318760606;0.06986899563318777;-3.6987046667703445;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;0;-847422.3150504574;-673366.2837363806;4;512.5509517731682;136.28733506442143;112.4767694843423;1
введение в;92;27729;35;0.5217391304347826;1;9.889130648948882;6.144915244574655;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3139758486297284;13.572541882519662;5.321201812069841;0.00126221645208987;-8.634603639749638;1.3795577137969567e-06;0;0.0049504950495049506;0;0;0.0024813895781637717;0;0;0;1.0;0;-187711.3652090983;-312852.27534849715;4;119.17240278013473;134.20148601137896;92.37800553130003;1
на первое;8849;565;48;0.6086956521739131;1;10.348790416289031;7.587460920871825;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.7989194853837827;13.968844486826095;5.932655931927759;0.005424341733529212;-6.615629636968098;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;0.0;0.0;4;4.506592541984946;130.1858823066885;40.03891676731707;1
в рамка;27729;399;352;0.6521739130434783;1;65.34407509059291;65.34404059741458;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5274414701567265;21.44630470743132;17.94812915636779;0.012694291175303834;-5.320287736506107;1.3795577137969567e-06;0;0.00819672131147541;0;0;0.00411522633744856;0;0;0;1.0;1;-168910.54317972102;-281517.5719662017;4;133.38382926147145;139.152748664285;101.41706246392586;1
алгоритм и;1263;19210;56;0.43478260869565216;0;20.256758816985197;18.026686700492014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7425088559406009;12.357218700055808;3.010544675899421;0.0029151483602290473;-7.514079979882498;1.3795577137969567e-06;0;0;0;0;0.0005959475566150178;0;0;0;1.0;0;0.0;0.0;3;0;118.50417568479106;79.02580799633085;1
задача на;916;8849;24;0.43478260869565216;1;8.681468064422228;4.15560967794561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.101822754589389;10.2717477560317;2.6164104483318957;0.002712170866764606;-7.668441828052998;1.3795577137969567e-06;0;0;0;0;0.00023820867079561695;0;0;0;1.0;0;-361866.3482180667;-603110.5803634444;4;116.04040796331122;124.34273551365986;79.05462404847437;1
алгоритм в;1263;27729;63;0.6521739130434783;1;11.695104348600434;9.867162672142848;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38289578745413916;12.337455634453972;1.850199891582621;0.0022719896137617657;-7.846087316546319;1.3795577137969567e-06;0;0;0;0;0.0005959475566150178;0;0;0;1.0;0;0.0;0.0;2;0;119.00944061400152;79.92070338723389;1
в вид;27729;1476;561;0.8695652173913043;1;34.05148843837613;34.05148843215689;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3126347422901716;21.57634866350776;21.301588104195492;0.020231526560640485;-4.70207080372002;1.3795577137969567e-06;0;0.00010411244143675169;0;0;5.2058930709563226e-05;0;0;0;1.0;1;-123887.52200410704;-206479.20334017838;4;5.552579382397116;137.8224958643676;45.93029220550805;1
