collocation,frequency1,frequency2,frequency,doc_freq,Words_in_dict,TF_IDF,TF-RIDF,NOUN_l,ADJF_l,ADJS_l,COMP_l,VERB_l,INFN_l,PRTF_l,GRND_l,NUMR_l,ADVB_l,NPRO_l,PRED_l,PREP_l,CONJ_l,PRCL_l,INTJ_l,None_l,NOUN_1,ADJF_1,ADJS_1,COMP_1,VERB_1,INFN_1,PRTF_1,GRND_1,NUMR_1,ADVB_1,NPRO_1,PRED_1,PREP_1,CONJ_1,PRCL_1,INTJ_1,None_1,NOUN_2,ADJF_2,ADJS_2,COMP_2,VERB_2,INFN_2,PRTF_2,GRND_2,NUMR_2,ADVB_2,NPRO_2,PRED_2,PREP_2,CONJ_2,PRCL_2,INTJ_2,None_2,NOUN_r,ADJF_r,ADJS_r,COMP_r,VERB_r,INFN_r,PRTF_r,GRND_r,NUMR_r,ADVB_r,NPRO_r,PRED_r,PREP_r,CONJ_r,PRCL_r,INTJ_r,None_r,MI,MI3,T-score,minimum-sens,log_dice,raw_freq,log_likehood,dice,chi_sq,pmi,jaccard,phi,mi_like,poison_stirling,student_t,Words Class,MY_COMBINATION,ALLA_COMBINATION,collections_kolichestvo,weirdness,cw,dw,otnosit_chastota,class
на первое,8849,565,48,0.6086956521739131,1,10.348790416289031,7.587460920871825,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7989194853837827,13.968844486826095,5.932655931927759,0.005424341733529212,-6.615629636968098,1.3795577137969567e-06,0,0,0,0,0.0024813895781637717,0,0,0,1.0,1,0.0,0.0,4,4.506592541984946,130.1858823066885,40.03891676731707,1,0
в рамка,27729,399,352,0.6521739130434783,1,65.34407509059291,65.34404059741458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5274414701567265,21.44630470743132,17.94812915636779,0.012694291175303834,-5.320287736506107,1.3795577137969567e-06,0,0.00819672131147541,0,0,0.00411522633744856,0,0,0,1.0,1,-168910.54317972102,-281517.5719662017,4,133.38382926147145,139.152748664285,101.41706246392586,1,1
в вид,27729,1476,561,0.8695652173913043,1,34.05148843837613,34.05148843215689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3126347422901716,21.57634866350776,21.301588104195492,0.020231526560640485,-4.70207080372002,1.3795577137969567e-06,0,0.00010411244143675169,0,0,5.2058930709563226e-05,0,0,0,1.0,1,-123887.52200410704,-206479.20334017838,4,5.552579382397116,137.8224958643676,45.93029220550805,1,1
в раздел,27729,753,344,0.391304347826087,1,140.17495234292417,140.17490461110756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5780134877719445,20.43054299717614,16.994171261258433,0.012405784557683291,-5.37149808044849,1.3795577137969567e-06,0,0.047619047619047616,0,0,0.024390243902439025,0,0,0,1.0,1,0.0,0.0,4,173.35591311118154,128.48028487779592,88.17372330143644,1,1
на пример,8849,1599,54,0.6086956521739131,1,11.64238921832516,9.286462987683231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4679973206483132,12.97777232497525,4.692117051829954,0.006102384450220364,-6.596051679382962,1.3795577137969567e-06,0,0,0,0,0.00411522633744856,0,0,0,1.0,1,-270632.88552814117,-451054.80921356863,4,164.4297278832345,137.35689893004687,101.36271546759924,1,1
состоять из,572,4846,363,0.6956521739130435,0,57.21165077028552,57.211628721173696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.568738467989453,23.576389943980956,18.851850274771117,0.07490713990920346,-2.8997189402062635,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,-390859.19482126425,-358370.0549985685,4,8.567151675774566,137.9131860540456,53.211004412102234,1,1
из два,4846,2293,100,0.6521739130434783,0,18.563657696191164,17.998237303098723,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7056196169660236,15.993331996515472,8.46705229903293,0.020635575732562937,-5.157650096861711,1.3795577137969567e-06,0,0,0,0,0.024390243902439025,0,0,0,1.0,1,-213537.75757576915,-355896.26262628194,4,3.7068304508868555,131.55056396694002,37.50493115673933,1,0
использоваться для,1305,9362,227,0.7391304347826086,1,29.800313623125408,29.795214169014173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7514761023451526,19.404573076926983,13.947838606545375,0.02424695577867977,-4.5543183801656175,1.3795577137969567e-06,0,0,0,0,0.015151515151515152,0,0,0,1.0,1,-657237.1574690726,-1095395.2624484545,4,30.451531423570447,133.61894305810162,71.82004034631909,1,1
для хранение,9362,262,123,0.5652173913043478,1,30.477491496423006,30.222695025011593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.183853210313274,19.068882220991753,10.785425941290677,0.01313821832941679,-5.289906421836837,1.3795577137969567e-06,0,0,0,0,0.013513513513513514,0,0,0,1.0,1,0.0,0.0,4,9.513434256101426,108.9732342427475,41.7732706606767,1,1
в оба,27729,469,107,0.5652173913043478,1,26.51293975705091,26.06745312148502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5762776616275453,16.05921163442984,8.609657386845681,0.003858776010674745,-7.041838233346647,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,-296756.1329794864,-494593.5549658107,4,4.8479281473172495,129.74785655606826,41.00124957373874,1,0
