collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota;class
и др;19210;48;44;0.43478260869565216;0;15.916024784774084;12.86365484957065;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.112261975586691;16.031125212861284;6.441478931761151;0.002290473711608537;-7.773738643745408;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;0;-119038.88895442554;-105878.31353386144;4;390.59107360606055;139.14618291751356;119.05083936098733;1;0
связь с;703;10637;100;0.6521739130434783;1;18.563657696191164;17.998237303098723;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.27703436881149;16.56474674836094;8.968392815263426;0.00940114693992667;-5.825276830054866;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;0;-98555.88811189347;-75698.04659196635;4;10.977522291179518;138.46831723473846;57.70290892363932;1;0
в результат;27729;1519;240;0.7391304347826086;2;31.506939513436556;31.50387590378746;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.04623922884821;17.860020420065247;11.741113284687323;0.00865519852861625;-5.9291597594495515;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-102513.95590755183;-63658.92371350548;4;38.89745807710102;138.97381187289434;80.12410160640322;1;1
связать с;309;10637;208;0.7391304347826086;1;27.30601424497835;27.295339915604274;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5.5195357483460175;20.9204151846282;14.107802707278385;0.019554385635047477;-4.717676423066396;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-49376.89575083819;-29520.58897595202;4;7.645122957748716;138.2004396877656;51.41898889707368;1;0
производный класс;424;5099;255;0.21739130434782608;0;169.0032470788014;169.00155147735663;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.417797115890538;22.406503989608254;15.781943602463121;0.05000980584428319;-3.436882975212205;1.3795577137969567e-06;0;0;0;0;0.1;0;0;0;1.0;0;-30081.31524700363;-13028.639827375475;1;0;34.889846718234935;17.13964075131668;1;0
приводить к;299;5170;246;0.782608695652174;2;26.188011404914548;26.185592261497902;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.849927022162277;22.734956032840756;15.548419973403218;0.04758220502901354;-3.4745468414210507;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-29388.653382763412;-13523.39830183277;4;79.86586782899963;139.07021727437493;92.54923070015006;1;1
с помощь;10637;1170;955;0.8260869565217391;2;79.24039448684954;79.24039448684954;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.797623166561644;25.596337012407865;30.347498622977174;0.0897809532762997;-2.6279978985053347;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-25628.48897688796;-4452.826270115668;4;9.89551780100189;138.1577700606343;55.826726683647294;1;1
показать что;303;5019;57;0.4782608695652174;1;18.259103598983966;16.090145374642308;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.76389455615572;16.429674584485205;7.271951248805154;0.011356843992827256;-5.544862780857478;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-85395.31269132937;-76687.56354088096;4;23.91591242126436;138.87260165441543;71.49611052850409;1;0
прикрепляться к;1;5170;0;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-178706.7609739755;-224950.18638658416;1;0;69.66801713889303;29.661649316097954;1;0
ссылка на;665;8849;264;0.5217391304347826;1;74.59229975207157;74.59111276735044;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5.023247630935078;21.112035869651987;15.748440776987085;0.02983387953441067;-4.171442190604001;1.3795577137969567e-06;0;0;0;0;0.1;0;0;0;1.0;0;-43637.697447133556;-22099.21185909258;3;37.959777179900996;129.198246126423;71.68556047329214;1;0
